#,Category,Device,Feature,Description,Python script
1,Position,Phone,position-count,Total number of position data per day,02-create-daily-position.py
2,Position,Phone,position-duration,The duration (in minutes) of being outside home in a day,02-create-daily-position.py
3,Position,Phone,position-maximum-distance,The maximum distance travelled from home in a day,02-create-daily-position.py
4,Position,Phone,position-travelled-distance,The total distance travelled from home in a day,02-create-daily-position.py
5,Acceleration,Watch,acceleration-sum,Total number of acceleration data per day,02-create-daily-acceleration.py
6,Acceleration,Watch,FLIRT,Set of Acceleration FLIRT features,02-create-minutely-acceleration-flirt.py
7,Motion,Ambient,motion-sum,Total number of motions per day,02-create-daily-motion.py
8,Motion,Ambient,motion-ratio,The ratio of the number hours with motion to the number hours without motion per day,02-create-daily-motion.py
9,Motion,Ambient,motion-mean,Average number of motions in hours of a day with at least one motion,02-create-daily-motion.py
10,Motion,Ambient,motion-max,Maximum number of motions in hours of a day with at least one motion,02-create-daily-motion.py
11,Motion,Ambient,motion-max-timestamp,The timestamp (hour) in which there has been maximum number of motions a day,02-create-daily-motion.py
12,Step,Watch,motion-sum,Total number of steps per day,02-create-daily-step.py
13,Step,Watch,step-ratio,The ratio of the number hours with step to the number hours without step per day,02-create-daily- step.py
14,Step,Watch,step-mean,Average number of steps in hours of a day with at least one step,02-create-daily- step.py
15,Step,Watch,step-max,Maximum number of steps in hours of a day with at least one step,02-create-daily- step.py
16,Step,Watch,step-max-timestamp,The timestamp (hour) in which there has been maximum number of steps a day,02-create-daily- step.py
17,Heartrate,Watch,heartrate-min,Minimum heartrate in a day,02-create-daily-heartrate
18,Heartrate,Watch,heartrate-max,Maximum heartrate in a day,02-create-daily-heartrate
19,Heartrate,Watch,heartrate-mean,Mean of heartrate in a day,02-create-daily-heartrate
20,Heartrate,Watch,heartrate-std,Standard deviation of heartrate in a day,02-create-daily-heartrate
21,Sleep,Mattress,totalsleepduration,Total Sleep duration (hours),02-create-daily-sleep.py
22,Sleep,Mattress,deepsleepduration,Deep Sleep duration (hours),02-create-daily-sleep.py
23,Sleep,Mattress,lightsleepduration,Light Sleep duration (hours),02-create-daily-sleep.py
24,Sleep,Mattress,remsleepduration,REM Sleep duration (hours),02-create-daily-sleep.py
25,Sleep,Mattress,snoring,Snoring duration (hours),02-create-daily-sleep.py
26,Sleep,Mattress,durationtosleep,Duration to sleep (hours),02-create-daily-sleep.py
27,Sleep,Mattress,durationtowakeup,Duration to wakeup (hours),02-create-daily-sleep.py
28,Sleep,Mattress,wakeupcount,Wakeup count (count),02-create-daily-sleep.py
29,Sleep,Mattress,hr_average,Mean of heartrate during sleep,02-create-daily-sleep.py
30,Sleep,Mattress,hr_min,Minimum heartrate during sleep,02-create-daily-sleep.py
31,Sleep,Mattress,hr_max,Maximum heartrate during sleep,02-create-daily-sleep.py
